date,customer_id,product,amount
2024-01-05,C001,ノートPC,120000
2024-01-12,C002,マウス,3500
2024-01-18,C003,キーボード,8000
2024-01-25,C001,モニター,45000
2024-02-03,C004,ノートPC,115000
2024-02-10,C002,ヘッドセット,12000
2024-02-15,C005,マウス,4000
2024-02-22,C003,ノートPC,130000
2024-03-01,C006,キーボード,9500
2024-03-08,C001,マウス,3800
2024-03-14,C004,モニター,50000
2024-03-20,C005,ヘッドセット,15000
2024-03-28,C007,ノートPC,125000
2024-04-05,C002,キーボード,7500
2024-04-11,C006,マウス,3200
2024-04-18,C003,モニター,48000
2024-04-25,C008,ノートPC,118000
2024-05-02,C001,ヘッドセット,11000
2024-05-09,C007,キーボード,8500
2024-05-16,C004,マウス,4200
2024-05-23,C009,ノートPC,135000
2024-06-01,C005,モニター,52000
2024-06-08,C008,マウス,3600
2024-06-15,C002,ノートPC,122000
2024-06-22,C010,キーボード,9000
